"OGO","OPERATOR","CLIENT_STATUS","API","PF_TYPE","OTHER_TYPE","FARM","SPUD_DATE","WELL_STATUS","WELL_TYPE","IIJA_IND","UNCONVENTIONAL","CONSERVATION","CONFIGURATION","LATITUDE","LONGITUDE","LATITUDE_DECIMAL","LONGITUDE_DECIMAL","REGION","COUNTY","MUNICIPALITY","ADDRESS1","ADDRESS2","CITY","STATE","ZIP","WELL_PAD","WELL_PAD_ID","SITE_ID","PLUG_COMPLETED_DATE","PRIMARY_FACILITY_ID","CLIENT_ID"
"OGO-41575","A & R REALTY CO","Out of Business, Non-Govt","123-00232","OGL","OGW","EL JAY DEE (LOT 434) 61X","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","41° 38' 29.151''","-78° 58' 45.804''",41.641431,-78.97939,"EP DOGO NWDO Dstr Off","Warren","Sheffield Twp","PO BOX 1884","","PARKERSBURG","WV","26102-1884","","",202725,"2/21/2024",204702,49596
"OGO-41575","A & R REALTY CO","Out of Business, Non-Govt","123-00233","OGL","OGW","EL JAY DEE (LOT 434) 62X","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","41° 38' 28.978''","-78° 58' 39.817''",41.641383,-78.977727,"EP DOGO NWDO Dstr Off","Warren","Sheffield Twp","PO BOX 1884","","PARKERSBURG","WV","26102-1884","","",202726,"4/09/2024",204703,49596
"OGO-38354","ACTAGON CORP","Active, Non-Govt","031-23806","OGL","OGW","MCQUEEN 1","6/08/2004","Plugged OG Well","GAS","","No","No","Vertical Well","41° 7' 55.848''","-79° 29' 54.157''",41.13218,-79.498377,"EP DOGO NWDO Dstr Off","Clarion","Piney Twp","STE 905 JONNET BLDG","4099 WILLIAM PENN HIGHWAY","MONROEVILLE","PA","15146","","",627343,"11/04/2022",645319,240872
"OGO-41385","AIELLO BROS OIL & GAS INC","Active, Non-Govt","083-08464","OGL","OGW","LITTLE MIAM 5","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","41° 51' 42.264''","-78° 40' .588''",41.86174,-78.66683,"EP DOGO NWDO Dstr Off","McKean","Lewis Run Boro","611 INTERSTATE PKWY","","BRADFORD","PA","16701-2925","","",138406,"3/14/2022",140338,49786
"OGO-41385","AIELLO BROS OIL & GAS INC","Active, Non-Govt","083-08474","OGL","OGW","LITTLE MIAM 16","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","41° 51' 42.336''","-78° 40' 7.716''",41.86176,-78.66881,"EP DOGO NWDO Dstr Off","McKean","Lewis Run Boro","611 INTERSTATE PKWY","","BRADFORD","PA","16701-2925","","",138416,"2/16/2022",140348,49786
"OGO-41385","AIELLO BROS OIL & GAS INC","Active, Non-Govt","083-57247","OGL","OGW","LITTLE MIAM 8","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","41° 51' 48.301''","-78° 40' 4.5984''",41.863417,-78.667944,"EP DOGO NWDO Dstr Off","McKean","Lafayette Twp","611 INTERSTATE PKWY","","BRADFORD","PA","16701-2925","","",843454,"3/01/2022",842786,49786
"OGO-69588","ALLEGHENY CNTY AIRPORT AUTH","Active, Govt","003-00283","OGL","OGW","RAYMOND T ANDERSON & E J HEINLEIN 1","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Vertical Well","40° 30' 14.183''","-80° 14' 31.513''",40.50394,-80.242087,"EP DOGO SWDO Dstr Off","Allegheny","Moon Twp","PO BOX 12370","PGH INTL AIRPORT LANDSIDE TERM 4TH FL","PITTSBURGH","PA","15231-0370","","",4996,"2/01/2024",6744,90176
"OGO-65390","ALLEGHENY NATURAL RESOURCES INC","Active, Non-Govt","065-26838","OGL","OGW","G NEAL 3","1/25/2010","DEP Plugged","GAS","","No","No","Vertical Well","41° 7' 55.322''","-79° 6' 55.465''",41.132034,-79.115407,"EP DOGO NWDO Dstr Off","Jefferson","Rose Twp","101 GREENVIEW CT","","GIBSONIA","PA","15044-8055","","",728566,"9/08/2022",725853,246195
"OGO-65390","ALLEGHENY NATURAL RESOURCES INC","Active, Non-Govt","065-26839","OGL","OGW","G NEAL 2","1/17/2010","DEP Plugged","GAS","","No","No","Vertical Well","41° 7' 55.254''","-79° 6' 41.248''",41.132015,-79.111458,"EP DOGO NWDO Dstr Off","Jefferson","Rose Twp","101 GREENVIEW CT","","GIBSONIA","PA","15044-8055","","",728572,"9/01/2022",725859,246195
"OGO-46910","ALPHA WELLS INC","Active, Non-Govt","031-00954","OGL","OGW","FE MCELHATTEN 112A 3","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","41° 6' 53.863''","-79° 23' 17.066''",41.114962,-79.388074,"EP DOGO NWDO Dstr Off","Clarion","Monroe Twp","PO BOX 385","","CLARION","PA","16214-0385","","",18628,"6/15/2022",20379,49819
