API WELL NUMBER,Nearest_SWIW_km
34001900060000,"85    200.469292
Name: geometry, dtype: float64"
34003200520000,"85    19.408226
Name: geometry, dtype: float64"
34003641500000,"85    24.655112
Name: geometry, dtype: float64"
34003200460000,"85    44.114159
Name: geometry, dtype: float64"
34003200670000,"85    32.231274
Name: geometry, dtype: float64"
34003200710000,"85    31.349818
Name: geometry, dtype: float64"
34003200720000,"85    32.221778
Name: geometry, dtype: float64"
34003200730000,"85    32.189737
Name: geometry, dtype: float64"
34003200740000,"85    32.187413
Name: geometry, dtype: float64"
34003200750000,"85    32.281527
Name: geometry, dtype: float64"
34003200760000,"85    29.673511
Name: geometry, dtype: float64"
34003200830000,"85    32.381684
Name: geometry, dtype: float64"
34003200840000,"85    31.934407
Name: geometry, dtype: float64"
34003609840000,"85    43.114224
Name: geometry, dtype: float64"
34003609860000,"85    42.367794
Name: geometry, dtype: float64"
34003609870000,"85    42.588096
Name: geometry, dtype: float64"
34003636110000,"85    62.726103
Name: geometry, dtype: float64"
34003608590000,"85    44.596695
Name: geometry, dtype: float64"
34003624810000,"85    37.800972
Name: geometry, dtype: float64"
34003625040000,"85    38.009153
Name: geometry, dtype: float64"
34003631750000,"85    63.314516
Name: geometry, dtype: float64"
34003637100000,"85    32.63637
Name: geometry, dtype: float64"
34003637110000,"85    32.890512
Name: geometry, dtype: float64"
34003639890000,"85    30.859816
Name: geometry, dtype: float64"
34005200350000,"85    244.507791
Name: geometry, dtype: float64"
34005200520000,"85    244.085233
Name: geometry, dtype: float64"
34005200690000,"85    246.309719
Name: geometry, dtype: float64"
34005201310000,"85    246.762643
Name: geometry, dtype: float64"
34005201340000,"85    246.076522
Name: geometry, dtype: float64"
34005201450000,"85    243.619293
Name: geometry, dtype: float64"
34005201470000,"85    240.123909
Name: geometry, dtype: float64"
34005201570000,"85    227.754154
Name: geometry, dtype: float64"
34005201620000,"85    227.994317
Name: geometry, dtype: float64"
34005201640000,"85    226.678031
Name: geometry, dtype: float64"
34005201790000,"85    229.68848
Name: geometry, dtype: float64"
34005201930000,"85    232.253382
Name: geometry, dtype: float64"
34005202010000,"85    241.957538
Name: geometry, dtype: float64"
34005202030000,"85    249.11402
Name: geometry, dtype: float64"
34005202060000,"85    243.276258
Name: geometry, dtype: float64"
34005202070000,"85    225.988035
Name: geometry, dtype: float64"
34005202090000,"85    226.072788
Name: geometry, dtype: float64"
34005202100000,"85    249.392772
Name: geometry, dtype: float64"
34005202110000,"85    243.085898
Name: geometry, dtype: float64"
34005202130000,"85    248.836676
Name: geometry, dtype: float64"
34005202170000,"85    243.93316
Name: geometry, dtype: float64"
34005202180000,"85    242.990968
Name: geometry, dtype: float64"
34005202200000,"85    228.128528
Name: geometry, dtype: float64"
34005202210000,"85    227.563423
Name: geometry, dtype: float64"
34005202260000,"85    227.48721
Name: geometry, dtype: float64"
34005202310000,"85    249.008177
Name: geometry, dtype: float64"
34005202360000,"85    248.434198
Name: geometry, dtype: float64"
34005202430000,"85    240.889271
Name: geometry, dtype: float64"
34005202670000,"85    247.045543
Name: geometry, dtype: float64"
34005202730000,"85    245.705142
Name: geometry, dtype: float64"
34005202810000,"85    245.354702
Name: geometry, dtype: float64"
34005203000000,"85    237.161776
Name: geometry, dtype: float64"
34005203010000,"85    229.048901
Name: geometry, dtype: float64"
34005203580000,"85    231.074924
Name: geometry, dtype: float64"
34005200010000,"85    243.743487
Name: geometry, dtype: float64"
34005200020000,"85    250.564422
Name: geometry, dtype: float64"
34005200040000,"85    244.027147
Name: geometry, dtype: float64"
34005200150000,"85    244.286365
Name: geometry, dtype: float64"
34005200160000,"85    246.744361
Name: geometry, dtype: float64"
34005200210000,"85    244.155868
Name: geometry, dtype: float64"
34005200330000,"85    246.334871
Name: geometry, dtype: float64"
34005200460000,"85    244.219627
Name: geometry, dtype: float64"
34005200510000,"85    243.729843
Name: geometry, dtype: float64"
34005200580000,"85    246.492377
Name: geometry, dtype: float64"
34005200650000,"85    235.791375
Name: geometry, dtype: float64"
34005200740000,"85    246.30844
Name: geometry, dtype: float64"
34005200770000,"85    236.31461
Name: geometry, dtype: float64"
34005200780000,"85    235.794887
Name: geometry, dtype: float64"
34005200890000,"85    243.66644
Name: geometry, dtype: float64"
34005200900000,"85    236.878908
Name: geometry, dtype: float64"
34005200940000,"85    237.431946
Name: geometry, dtype: float64"
34005200950000,"85    243.29858
Name: geometry, dtype: float64"
34005200960000,"85    242.517829
Name: geometry, dtype: float64"
34005200990000,"85    233.663288
Name: geometry, dtype: float64"
34005201030000,"85    233.574135
Name: geometry, dtype: float64"
34005201040000,"85    233.625001
Name: geometry, dtype: float64"
34005201060000,"85    233.088932
Name: geometry, dtype: float64"
34005201070000,"85    233.06076
Name: geometry, dtype: float64"
34005201080000,"85    248.382773
Name: geometry, dtype: float64"
34005201100000,"85    233.100002
Name: geometry, dtype: float64"
34005201120000,"85    232.58586
Name: geometry, dtype: float64"
34005201130000,"85    247.06908
Name: geometry, dtype: float64"
34005201150000,"85    232.57029
Name: geometry, dtype: float64"
34005201160000,"85    243.723339
Name: geometry, dtype: float64"
34005201170000,"85    243.576025
Name: geometry, dtype: float64"
34005201200000,"85    232.58948
Name: geometry, dtype: float64"
34005201250000,"85    247.843333
Name: geometry, dtype: float64"
34005201350000,"85    243.223225
Name: geometry, dtype: float64"
34005201380000,"85    247.715679
Name: geometry, dtype: float64"
34005201590000,"85    244.557271
Name: geometry, dtype: float64"
34005201600000,"85    247.557734
Name: geometry, dtype: float64"
34005201670000,"85    244.594513
Name: geometry, dtype: float64"
34005201680000,"85    224.962636
Name: geometry, dtype: float64"
34005201770000,"85    247.74843
Name: geometry, dtype: float64"
34005201830000,"85    247.933964
Name: geometry, dtype: float64"
34005207100000,"85    251.30421
Name: geometry, dtype: float64"
34005207170000,"85    246.164204
Name: geometry, dtype: float64"
34005207180000,"85    248.078372
Name: geometry, dtype: float64"
34005207190000,"85    223.21573
Name: geometry, dtype: float64"
34005207200000,"85    225.063283
Name: geometry, dtype: float64"
34005207210000,"85    222.83446
Name: geometry, dtype: float64"
34005207240000,"85    248.726141
Name: geometry, dtype: float64"
34005207260000,"85    246.660651
Name: geometry, dtype: float64"
34005207330000,"85    224.779727
Name: geometry, dtype: float64"
34005207500000,"85    225.439168
Name: geometry, dtype: float64"
34005207510000,"85    225.461619
Name: geometry, dtype: float64"
34005207580000,"85    246.245022
Name: geometry, dtype: float64"
34005207880000,"85    244.389809
Name: geometry, dtype: float64"
34005207890000,"85    247.880187
Name: geometry, dtype: float64"
34005208000000,"85    248.740986
Name: geometry, dtype: float64"
34005208030000,"85    247.767222
Name: geometry, dtype: float64"
34005208130000,"85    232.798727
Name: geometry, dtype: float64"
34005208140000,"85    232.96182
Name: geometry, dtype: float64"
34005208330000,"85    224.527841
Name: geometry, dtype: float64"
34005202000000,"85    225.174394
Name: geometry, dtype: float64"
34005202120000,"85    225.345575
Name: geometry, dtype: float64"
34005202150000,"85    225.575329
Name: geometry, dtype: float64"
34005202300000,"85    232.194216
Name: geometry, dtype: float64"
34005202340000,"85    234.656974
Name: geometry, dtype: float64"
34005202420000,"85    241.407067
Name: geometry, dtype: float64"
34005202470000,"85    231.628271
Name: geometry, dtype: float64"
34005202490000,"85    245.314023
Name: geometry, dtype: float64"
34005202570000,"85    243.57716
Name: geometry, dtype: float64"
34005202610000,"85    244.630363
Name: geometry, dtype: float64"
34005202680000,"85    247.671833
Name: geometry, dtype: float64"
34005202750000,"85    240.683344
Name: geometry, dtype: float64"
34005202770000,"85    224.079156
Name: geometry, dtype: float64"
34005202830000,"85    228.760157
Name: geometry, dtype: float64"
34005202870000,"85    228.045597
Name: geometry, dtype: float64"
34005202960000,"85    224.438327
Name: geometry, dtype: float64"
34005203030000,"85    229.395858
Name: geometry, dtype: float64"
34005203060000,"85    223.061847
Name: geometry, dtype: float64"
34005203150000,"85    224.484791
Name: geometry, dtype: float64"
34005203180000,"85    242.058185
Name: geometry, dtype: float64"
