API WELL NUMBER,CV_TWPNM,CONAME,Company Phone,WELL NAME,WELL NUMBER,PRODUCING FORMATION,COMPLETED DATE,SECTION,LOT,WELL LATITUDE,WELL LONGITUDE,TANK LATITUDE,TANK LONGITUDE,NUMBER OF STORAGE TANKS,MAXIMUM STORAGE CAPACITY,CNTY_APINO,Nearest_SWIW_API,Nearest_SWIW_km
34001900060000,FRANKLIN,HISTORIC OWNER,6148885080.0,TIRA THOMAS,1,GLACIAL DEPOSITS,,,,39.0462769043875,-83.3503180650471,,,,,1,34129200880000,66.75211894637782
34003200520000,SPENCER,HISTORIC OWNER,6148885080,MILLER R E 1,1,,21756.0,1.0,10.0,40.7175702529258,-84.3501943028378,,,,,3,34011201030000,19.426661641118606
34003641500000,SPENCER,HISTORIC OWNER,6148885080,Pohlman Fruend Etzkorn Unit     4,4,,,22.0,,40.7644134570195,-84.3792975553364,,,,,3,34161201300000,17.83710007998273
34003200460000,BATH,HISTORIC OWNER,6148885080,HARNISHFEGER A D & D L 1,1,TRENTON LIMESTONE,20941.0,9.0,,40.7950304144803,-84.0536293698446,,,,,3,34161201300000,36.93241865649805
34003200670000,SHAWNEE,HISTORIC OWNER,6148885080,STANDARD OIL CO. 1,1,,,2.0,,40.7161536337815,-84.1278278255474,,,,,3,34011201030000,27.523709294912535
34003200710000,SHAWNEE,HISTORIC OWNER,6148885080,STANDARD OIL CO. 2,2,PEEKER SAND,,11.0,,40.7145956506932,-84.1365965393784,,,,,3,34011201030000,26.876648307273836
34003200720000,SHAWNEE,HISTORIC OWNER,6148885080,THE STANDARD OIL CO,,,,12.0,,40.7122175658631,-84.1250615101363,,,,,3,34011201030000,27.389073971225905
34003200730000,SHAWNEE,HISTORIC OWNER,6148885080,THE STANDARD OIL CO,AUX #1,,,12.0,,40.7116309719221,-84.1249966367723,,,,,3,34011201030000,27.3483691525094
34003200740000,SHAWNEE,HISTORIC OWNER,6148885080,THE STANDARD OIL CO,AUX. #2,,,12.0,,40.7113370782541,-84.1248126609384,,,,,3,34011201030000,27.33732928848986
34003200750000,SHAWNEE,HISTORIC OWNER,6148885080,THE STANDARD OIL CO,AUX.#3,,,12.0,,40.7118381998367,-84.1241286323043,,,,,3,34011201030000,27.417500056115962
34003200760000,SHAWNEE,HISTORIC OWNER,6148885080,THE STANDARD OIL CO 4,AUX. #4,,,14.0,,40.6977496779498,-84.1429407019636,,,,,3,34011201030000,25.18928413176916
34003200830000,SHAWNEE,STANDARD OIL CO,2165755366,THE STANDARD OIL COMPANY # 8A,8A,,,12.0,,40.7128077331187,-84.1237122078969,,,,,3,34011201030000,27.516863882689535
34003200840000,SHAWNEE,HISTORIC OWNER,6148885080,STANDARD OIL CO. 3,3,,,2.0,,40.7187818298353,-84.1331710210654,,,,,3,34011201030000,27.41051308936057
34003609840000,BATH,HISTORIC OWNER,6148885080,ALLEN CO INFIRMARY 9,9,,420.0,22.0,,40.7700523004434,-84.045782597671,,,,,3,34011201030000,36.66051642559915
34003609860000,BATH,HISTORIC OWNER,6148885080,ALLEN CO INFIRMARY 10,10,,437.0,22.0,,40.7647130054138,-84.0502291247261,,,,,3,34011201030000,35.98090083168658
34003609870000,BATH,HISTORIC OWNER,6148885080,ALLEN CO INFIRMARY 29,29,,751.0,22.0,,40.7610658325213,-84.0452445689078,,,,,3,34011201030000,36.014702067639526
34003636110000,RICHLAND,HISTORIC OWNER,6148885080,KERMS M. 1,1,,,13.0,,40.8636224687396,-83.8955886189563,,,,,3,34173212150000,43.36459209396279
34003608590000,BATH,HISTORIC OWNER,6148885080,RAMBAUGH RUSSELL P 3,3,TRENTON LIMESTONE,19268.0,15.0,,40.7751569803121,-84.0330170502176,,,,,3,34011201030000,37.83294079902684
34003624810000,PERRY,HISTORIC OWNER,6148885080,WILLIAMS JG 3,3,,33365.0,22.0,,40.6771729332188,-84.0479363942624,,,,,3,34011201030000,30.341939807316532
34003625040000,PERRY,HISTORIC OWNER,6148885080,STILES JO 5,5,,33224.0,22.0,,40.6809641591087,-84.0475379736124,,,,,3,34011201030000,30.579792909813307
34003631750000,RICHLAND,HISTORIC OWNER,6148885080,HUBER JESSE 9,9,,,13.0,,40.8638984574807,-83.8893534222935,,,,,3,34173212150000,43.09770569928905
34003637100000,SHAWNEE,HISTORIC OWNER,6148885080,BUCKEYE PIPE LINE CO 13,13,,1230.0,12.0,,40.707365967499,-84.1171396466245,,,,,3,34011201030000,27.51824762545147
34003637110000,SHAWNEE,HISTORIC OWNER,6148885080,BUCKEYE PIPE LINE CO 12,12,,4870.0,12.0,,40.7074670246681,-84.1144508991776,,,,,3,34011201030000,27.695745430736572
34003639890000,SHAWNEE,HISTORIC OWNER,6148885080,SELLERS JOSEPH 9,9,,33173.0,25.0,,40.6640690203699,-84.1106667390453,,,,,3,34011201030000,25.051497893893586
34005200350000,MOHICAN,HISTORIC OWNER,6148885080,EAGLE FLOYD,1,BEREA SANDSTONE,12703.0,9.0,,40.7849321393156,-82.1715104785004,,,,,5,34005617790000,5.786941450460856
34005200520000,SULLIVAN,HISTORIC OWNER,6148885080,KOONS LEC E 1,1,CLINTON SAND,13303.0,,51,41.059484721482,-82.22349962373,,,,,5,34077202720000,13.500242425339938
34005200690000,MOHICAN,Brick Service and Sales Inc,+1 (330) 907-4612,HOYLAND B AUSTIN(CRUMLICK)     1,1,CLINTON GROUP,13473.0,22.0,,40.7680689346258,-82.1533948743315,,,1.0,100.0,5,34005617790000,7.273691333938159
34005201310000,MOHICAN,Brick Service and Sales Inc,+1 (330) 907-4612,HOYLAND B AUSTIN (HOOTMAN)     1-6794,1-6794,CLINTON GROUP,14969.0,22.0,,40.765118484987,-82.1489951854143,,,0.0,0.0,5,34005613690000,7.565686500404401
34005201340000,MOHICAN,Brick Service and Sales Inc,+1 (330) 907-4612,HOYLAND B AUSTIN(HOOTMAN & CRUMLICK)     2,2,CLINTON GROUP,15210.0,22.0,,40.7593575355019,-82.1546352304058,,,1.0,100.0,5,34005617790000,8.247783312366648
34005201450000,MOHICAN,Brick Service and Sales Inc,+1 (330) 907-4612,F RAY BECKER (RUSSELL SELLS)     2,2,CLINTON GROUP,15216.0,4.0,,40.8031760187132,-82.1816640676203,40.80336,-82.18154,1.0,100.0,5,34005617790000,4.496584871648342
34005201470000,SULLIVAN,Eco Power Crypto LLC,832-954-9711,SPRINKLE CARL A     1-6958,1-6958,CLINTON GROUP,15223.0,,77,41.0154220166101,-82.2498872487808,,,1.0,100.0,5,34077202720000,14.841926129963593
34005201570000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,WILSON ROBERT M     1-7115,1-7115,BEREA SANDSTONE,15480.0,19.0,,40.7608526256692,-82.3207161907923,,,,,5,34005617790000,16.77125061262334
34005201620000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,E. ARNOLD 1,1,CLINTON SAND,15538.0,19.0,,40.7649026544192,-82.3189762306228,,,,,5,34005617790000,16.429442646070854
34005201640000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,BARTLEY THOMAS L     1,1,CLINTON SAND,15550.0,19.0,,40.7580326401007,-82.3301658413329,,,1.0,30.0,5,34005617790000,17.620208471046546
34005201790000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,LONG GEO. W.     1,1,CLINTON SAND,15370.0,17.0,,40.7736526746757,-82.3045867303627,,,,,5,34005617790000,14.907824641005607
34005201930000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,CRAIG FRANK     1,1,CLINTON SAND,15685.0,16.0,,40.7779526238437,-82.2818175862605,40.77796,-82.28158,1.0,30.0,5,34005617790000,12.985110725704793
34005202010000,MOHICAN,SELLERS STANLEY L,4193684629,ROSS SELLERS     2-7310,2-7310,CLINTON GROUP,15755.0,5.0,,40.8074783279653,-82.1972632765569,40.8074,-82.1972,0.0,0.0,5,34005617790000,5.183413809815932
34005202030000,MOHICAN,GEOPETRO LLC,+1 (614) 543-0312,FRIDLINE FERN     1,1,CLINTON SAND,15841.0,2.0,,40.8121709347638,-82.1328865065397,,,1.0,100.0,5,34005613690000,2.392050918581638
34005202060000,MOHICAN,Eco Power Crypto LLC,832-954-9711,METCALF HOWARD (RAMSIER WALLACE W)     1-7406,1,CLINTON SAND,15859.0,21.0,,40.758849003963,-82.1799348082619,,,1.0,100.0,5,34005617790000,8.753127457390896
34005202070000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,D. HARLAN 2-7436,2-7436,CLINTON SAND,15864.0,30.0,,40.7531626217602,-82.3359056504384,,,2.0,210.0,5,34005617790000,18.304686620337122
34005202090000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,LIFFRING E R     1,1,CLINTON SAND,15907.0,19.0,,40.7595026763818,-82.3358056110884,,,,,5,34005617790000,17.964147728554785
34005202100000,MOHICAN,HISTORIC OWNER,6148885080,TALLEY FRANK A 1,1,CLINTON SAND,15915.0,2.0,,40.8080822916777,-82.1298675074166,,,,,5,34005613690000,2.9012941970503983
34005202110000,MOHICAN,Eco Power Crypto LLC,832-954-9711,PEARCE R D (RAMSIER WALLACE W)     1-7480,1,CLINTON SAND,15918.0,28.0,,40.7534503223133,-82.1811303145031,,,1.0,100.0,5,34005617790000,9.35391659384939
34005202130000,MOHICAN,Eco Power Crypto LLC,832-954-9711,MUSKINGUM WATERSHED CONSERVANCY DISTRICT (AUSTIN ETHEL M)     1-7335,1-7335,CLINTON GROUP,15957.0,23.0,,40.7638650388823,-82.1300926436148,,,1.0,100.0,5,34005613690000,7.723737356132511
34005202170000,MOHICAN,HISTORIC OWNER,6148885080,METCALF A A 1,1,CLINTON SAND,16007.0,21.0,,40.7606004787139,-82.1741614799491,,,,,5,34005617790000,8.419412856571453
34005202180000,MOHICAN,Eco Power Crypto LLC,832-954-9711,METCALF HOWARD (RAMSIER WALLACE W)     2-7610,2,CLINTON SAND,16007.0,21.0,,40.7602180411049,-82.1826535955564,,,1.0,100.0,5,34005617790000,8.688192361684079
34005202200000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,DOERRER DC 1,1,CLINTON SAND,16021.0,18.0,,40.7732727275556,-82.3186861838929,,,,,5,34005617790000,15.997231595677881
34005202210000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,SHAFER AE 1,1,CLINTON SAND,16063.0,18.0,,40.7731527469067,-82.3237959857066,,,,,5,34005617790000,16.394606639432723
34005202260000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,SHERIFF CLARENCE E 1,1,CLINTON SAND,16102.0,19.0,,40.7681327031539,-82.3239260152826,40.76823,-82.32413,0.0,0.0,5,34005617790000,16.6402647885176
34005202310000,MOHICAN,Eco Power Crypto LLC,832-954-9711,BELL S H (BONNELL ROBERT R)     1-7815,1,CLINTON SAND,16307.0,11.0,,40.7923153536228,-82.13153740661,,,1.0,100.0,5,34005613690000,4.57368114168519
34005202360000,MOHICAN,HISTORIC OWNER,6148885080,FABLE H E 1,1,CLINTON SAND,16410.0,11.0,,40.7886414739201,-82.1363320313423,,,,,5,34005613690000,4.930825974184161
34005202430000,MOHICAN,HISTORIC OWNER,6148885080,ICEMAN LUCY 1,1,CLINTON SAND,16482.0,7.0,,40.7961333304201,-82.2055968292715,,,,,5,34005617790000,6.499305810685562
34005202670000,SULLIVAN,HISTORIC OWNER,6148885080,ROOK DEWEY 1,1,CLINTON SAND,16684.0,,29,41.0510743578381,-82.1940833517893,,,,,5,34077202720000,16.1208706723899
34005202730000,SULLIVAN,HISTORIC OWNER,6148885080,DRAKE E E 1,1,CLINTON SAND,16616.0,,32,41.0510379883812,-82.2064797570577,,,,,5,34077202720000,15.201898938338797
34005202810000,SULLIVAN,HISTORIC OWNER,6148885080,DRAKE E M 2,2,CLINTON SAND,16783.0,,32,41.0517959942881,-82.2099027033197,,,,,5,34077202720000,14.909612075074579
34005203000000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,ROLLER GEORGE,1-8166,CLINTON SAND,16963.0,25.0,,40.745882170833,-82.2340197446804,,,,,5,34005617790000,12.221187089977082
34005203010000,VERMILLION,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,SHENBERGER CW 1,1,CLINTON SAND,16966.0,17.0,,40.7761427212737,-82.3106664761894,,,,,5,34005617790000,15.250359062915347
34005203580000,TROY,HISTORIC OWNER,6148885080,R. WONDERS 1,1,CLINTON SAND,17695.0,,3,41.0113915690371,-82.3325727531365,,,,,5,34077202720000,11.989547175927592
34005200010000,LAKE,HISTORIC OWNER,6148885080,HORN SARAH E 3,3,,13102.0,21.0,,40.6736151004445,-82.1689607577434,,,,,5,34005617790000,17.855000163917204
34005200020000,JACKSON,KERR P/FALLING STAR FARM,4199452464,BRIDENSTINE PAUL,1,,12319.0,14.0,,40.9499231619361,-82.1405965550023,,,,,5,34005611260000,12.823588079445527
34005200040000,LAKE,HARLEY DRILLING & PRODUCING LTD,+1 (330) 948-1054,HORN HARRY 8,8,BEREA SANDSTONE,12402.0,21.0,,40.6752878692655,-82.1665008967222,40.67624,-82.16711,0.0,0.0,5,34005617790000,17.648555558174866
34005200150000,LAKE,HISTORIC OWNER,6148885080,HEFFELFINGER J 1,1,BEREA SANDSTONE,12652.0,16.0,,40.6956605908733,-82.1654825512367,,,,,5,34005617790000,15.386323170883973
34005200160000,JACKSON,HISTORIC OWNER,6148885080,UTZ VERNON,1,CLINTON SAND,12627.0,33.0,,40.9110330969298,-82.1687100143815,,,,,5,34005617790000,8.860062621267964
34005200210000,LAKE,HARLEY DRILLING & PRODUCING LTD,+1 (330) 948-1054,LEININGER (HORN)     6 (4),6 (4),BEREA SANDSTONE,12698.0,21.0,,40.676401869083,-82.1654065193344,,,2.0,200.0,5,34005617790000,17.516409682104495
34005200330000,JACKSON,HOTTEL OIL AND GAS INC,3306211390,HEFFELINGER     1-5874,1-5874,BEREA SANDSTONE,12719.0,33.0,,40.9141360436742,-82.1729747999431,40.91341,-82.17383,2.0,200.0,5,34005617790000,9.278551690909161
34005200460000,JACKSON,SIGRIST ELDON E,4199452397,SIGRIST J.     2,2,CLINTON GROUP,13163.0,5.0,,40.9761026387778,-82.2038247035848,40.97587,-82.20341,,,5,34005617790000,16.61439653653262
34005200510000,JACKSON,HISTORIC OWNER,6148885080,TALBOT AJ 1,1,LOCKPORT DOLOMITE,13252.0,17.0,,40.9530485582759,-82.2038157344438,,,,,5,34005617790000,14.183230798466052
34005200580000,JACKSON,RALPH E SHORTS DRILLING,4198534442,STANISLAWSKI     1,1,BEREA SANDSTONE,13313.0,33.0,,40.9034217749167,-82.1697465787085,40.90346,-82.16943,1.0,100.0,5,34005617790000,8.057084272278347
34005200650000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,DERR J M     1-6207,1-6207,CLINTON GROUP,13414.0,13.0,,40.6035589310716,-82.2375784133852,,,,,5,34083240720000,19.426061831068534
34005200740000,JACKSON,FAWN RESOURCES LLC,8104331150,Mary Stanislawski 2,34(B),CLINTON SAND,13471.0,33.0,,40.9057141570505,-82.171804480886,,,,,5,34005617790000,8.34764535360811
34005200770000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,STRANG W,1,CLINTON SAND,13493.0,13.0,,40.6037689275928,-82.2328686554514,,,,,5,34083240720000,19.542498432033216
34005200780000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,HEFFELFINGER H.A.     1-6355,1-6355,CLINTON GROUP,13551.0,13.0,,40.6073590175023,-82.237658440402,,,,,5,34083240720000,19.83639297409357
34005200890000,LAKE,HISTORIC OWNER,6148885080,,1,BEREA SANDSTONE,13708.0,16.0,,40.690136427331,-82.1707030052075,,,,,5,34005617790000,16.048429425552243
34005200900000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,STRANG C GAIL 1,1,,21839.0,13.0,,40.6073890020455,-82.2278889381689,40.60756,-82.22781,0.0,0.0,5,34083240720000,20.038233535000252
34005200940000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,FULMER AM 1,1,CLINTON SAND,13753.0,12.0,,40.6110990797385,-82.2230192149393,,,,,5,34083240720000,20.545586975667476
34005200950000,HANOVER,HISTORIC OWNER,6148885080,HENLEY LF & MM 2,2,CLINTON SAND,13761.0,14.0,,40.6939813492801,-82.1742865203627,,,,,5,34005617790000,15.667780380509729
34005200960000,HANOVER,HISTORIC OWNER,6148885080,HENLEY LF & MM 3,3,CLINTON SAND,13822.0,14.0,,40.7434978471365,-82.1853319806442,,,,,5,34005617790000,10.515722405475607
34005200990000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,STATE OF OHIO (BURNSIDE)     3,3,CLINTON GROUP,26175.0,14.0,,40.5965188466088,-82.2565675694211,,,,,5,34083240720000,18.353316094817668
34005201030000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,STATE OF OHIO     11010,11010,CLINTON SAND,26212.0,14.0,,40.6005589433025,-82.2574775799799,,,1.0,30.0,5,34083240720000,18.786228606701748
34005201040000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,PARROTT R.L.     1,1,CLINTON SAND,13937.0,23.0,,40.5930587717747,-82.2568275364288,,,,,5,34083240720000,17.96974019953463
