API_WELLNO,WH_LAT,WH_LONG,CONAME,DT_APP_ISSUED,DT_APP_RECVD,APP_TYP,APPNO,EXIST_WELL,LOCATION_ID,RIG_TYP,PROP_WLTYPE,PROP_WELL_CLASS,APP_TYP_Description
34151202010000,40.851291466396,-81.3570787871,ALSID OIL & GAS,08/19/1998,08/06/1998,PA,aCLEV000028,True,aCLEV000028,SERV,OG_R,,Plug and Abandon
34067207270000,40.329079709796,-81.2226385037206,RANGE OPERATING COMPANY,08/26/1998,08/13/1998,PA,aCLEV000029,True,aCLEV000029,SERV,OG_R,,Plug and Abandon
34073230420000,39.5005679741101,-82.3057997790478,OAK DALE DRILLING CO,08/26/1998,08/13/1998,PA,aCLEV000030,True,aCLEV000030,SERV,OG_R,,Plug and Abandon
34029205570000,40.8901042948282,-81.0832161290614,"PETROX, INC",08/26/1998,08/13/1998,PA,aCLEV000031,True,aCLEV000031,SERV,OG_R,,Plug and Abandon
34083230250000,40.5210756921565,-82.2226862405235,MARAM ENERGY INC,08/26/1998,08/13/1998,RP,aCLEV000032,True,aCLEV000032,SERV,OG_R,,Reissue Plug & Abandon
34083241020000,40.521914109765,-82.328034707424,MARAM ENERGY INC,08/26/1998,08/13/1998,PB,aCLEV000033,True,aCLEV000033,SERV,OG_R,POOL,Plug Back
34167293670000,39.4725859349733,-81.5466569678647,ENERGY SEARCH INC,08/26/1998,08/13/1998,NW,aCLEV000034,False,aCLEV000034,RTA,OG_R,POOL,Drill New Well
34167293680000,39.4683921191383,-81.5508940837608,ENERGY SEARCH INC,08/27/1998,08/13/1998,NW,aCLEV000035,False,aCLEV000035,RTA,OG_R,POOL,Drill New Well
34009236880000,39.1925148274821,-82.0233297165785,TRIAD RESOURCES INC,08/26/1998,08/13/1998,NW,aCLEV000036,False,aCLEV000036,RTA,OG_R,POOL,Drill New Well
34009236890000,39.2263421653937,-81.9786219573423,TRIAD RESOURCES INC,08/26/1998,08/13/1998,NW,aCLEV000037,False,aCLEV000037,RTA,OG_R,POOL,Drill New Well
34105235260000,39.1864404370438,-82.0251349211339,TRIAD RESOURCES INC,08/26/1998,08/13/1998,NW,aCLEV000038,False,aCLEV000038,RTA,OG_R,POOL,Drill New Well
34009236860000,39.2232447555055,-81.9737031397321,TRIAD RESOURCES INC,08/26/1998,08/13/1998,NW,aCLEV000039,False,aCLEV000039,RTA,OG_R,POOL,Drill New Well
34009236870000,39.20336979812,-81.9931372628334,TRIAD RESOURCES INC,08/26/1998,08/13/1998,NW,aCLEV000041,False,aCLEV000041,,OG_R,POOL,Drill New Well
34105235250000,39.1902989478992,-82.0253205388218,TRIAD RESOURCES INC,08/26/1998,08/13/1998,NW,aCLEV000042,False,aCLEV000042,RTA,OG_R,POOL,Drill New Well
34169252560000,40.8593421854587,-82.0048993448886,RANGE OPERATING COMPANY,08/21/1998,08/17/1998,NX,aCLEV000043,False,aCLEV000043,RTAF,OG_R,POOL,"Drill New Well, directionally"
