Production Year,"Quarter (1, 2, 3, 4, n/a)",Owner Name,API Number,County,Township,Oil (Bbls),Gas (Mcf),Brine (Bbls),Days in Production,Date of First Production,Well Name and Number
2013,1.0,"XTO ENERGY, INC.",34013205830000,BELMONT,WASHINGTON,0.0,163.0,0.0,7.0,2007-11-26,BOAN/MARCUM     2-1 2-1
2013,2.0,"XTO ENERGY, INC.",34013205830000,BELMONT,WASHINGTON,0.0,0.0,0.0,0.0,2007-11-26,BOAN/MARCUM     2-1 2-1
2013,3.0,XTO ENERGY INC.,34013205830000,BELMONT,WASHINGTON,0.0,0.0,0.0,0.0,2007-11-26,BOAN/MARCUM     2-1 2-1
2013,4.0,XTO ENERGY INC.,34013205830000,BELMONT,WASHINGTON,0.0,0.0,0.0,0.0,2007-11-26,BOAN/MARCUM     2-1 2-1
2013,1.0,HESS OHIO RESOURCES LLC,34013206190000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT B     1H-17 1H-17
2013,2.0,HESS OHIO RESOURCES LLC,34013206190000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT B     1H-17 1H-17
2013,3.0,HESS OHIO RESOURCES LLC,34013206190000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT B     1H-17 1H-17
2013,4.0,HESS OHIO RESOURCES LLC,34013206190000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT B     1H-17 1H-17
2013,1.0,HESS OHIO RESOURCES LLC,34013206200000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT A     1H-17 1H-17
2013,2.0,HESS OHIO RESOURCES LLC,34013206200000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT A     1H-17 1H-17
2013,3.0,HESS OHIO RESOURCES LLC,34013206200000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT A     1H-17 1H-17
2013,4.0,HESS OHIO RESOURCES LLC,34013206200000,BELMONT,RICHLAND,0.0,0.0,0.0,0.0,,PORTERFIELD GAS UNIT A     1H-17 1H-17
2013,2.0,GULFPORT ENERGY CORP,34013206570100,BELMONT,KIRKWOOD,2389.0,899750.0,3248.0,71.0,2013-04-15,SHUGERT     1-1H 1-1H
2013,3.0,GULFPORT ENERGY CORP.,34013206570100,BELMONT,KIRKWOOD,93.0,776999.0,2858.0,87.0,2013-04-15,SHUGERT     1-1H 1-1H
2013,4.0,GULFPORT ENERGY CORPORATION,34013206570100,BELMONT,KIRKWOOD,365.0,326161.0,17802.0,42.0,2013-04-15,SHUGERT     1-1H 1-1H
2013,2.0,GULFPORT ENERGY CORP,34013206580100,BELMONT,WARREN,7392.0,1041215.0,6611.0,73.0,2013-04-15,SHUGERT     1-12H 1-12H
2013,3.0,GULFPORT ENERGY CORP.,34013206580100,BELMONT,WARREN,3059.0,827916.0,6860.0,85.0,2013-04-15,SHUGERT     1-12H 1-12H
2013,4.0,GULFPORT ENERGY CORPORATION,34013206580100,BELMONT,WARREN,1240.0,663999.0,5469.0,79.0,2013-04-15,SHUGERT     1-12H 1-12H
2013,1.0,HESS OHIO RESOURCES LLC,34013206600100,BELMONT,WHEELING,174.0,0.0,4441.0,13.0,2013-01-15,CAPSTONE HOLDINGS     2H-9 2H-9
2013,2.0,HESS OHIO RESOURCES LLC,34013206600100,BELMONT,WHEELING,0.0,0.0,0.0,0.0,2013-01-15,CAPSTONE HOLDINGS     2H-9 2H-9
2013,3.0,HESS OHIO RESOURCES LLC,34013206600100,BELMONT,WHEELING,192.0,226018.0,4379.0,46.0,2013-01-15,CAPSTONE HOLDINGS     2H-9 2H-9
2013,4.0,HESS OHIO RESOURCES LLC,34013206600100,BELMONT,WHEELING,169.0,224202.0,5309.0,68.0,2013-01-15,CAPSTONE HOLDINGS     2H-9 2H-9
2013,3.0,HESS OHIO RESOURCES LLC,34013206610000,BELMONT,RICHLAND,0.0,0.0,1759.0,5.0,2013-10-01,PORTERFIELD GAS UNIT C     1H-17 1H-17
2013,4.0,HESS OHIO RESOURCES LLC,34013206610000,BELMONT,RICHLAND,0.0,0.0,667.0,3.0,2013-10-01,PORTERFIELD GAS UNIT C     1H-17 1H-17
2013,1.0,GULFPORT ENERGY CORP,34013206700100,BELMONT,SOMERSET,0.0,7145.0,460.0,1.0,2013-06-21,STUTZMAN     1-14H 1-14H
